Pomiar,dzien_tygodnia,miesiac,dzien_roku,weekend,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_median_7,rolling_median_14,rolling_median_30,rolling_std_7,rolling_std_14,rolling_std_30,expanding_mean,expanding_median,expanding_std,nested_mean_7_std_7,nested_mean_7_std_14,nested_mean_7_std_30,nested_mean_14_std_7,nested_mean_14_std_14,nested_mean_14_std_30,nested_mean_30_std_7,nested_mean_30_std_14,nested_mean_30_std_30,nested_std_7_mean_7,nested_std_7_mean_14,nested_std_7_mean_30,nested_std_14_mean_7,nested_std_14_mean_14,nested_std_14_mean_30,nested_std_30_mean_7,nested_std_30_mean_14,nested_std_30_mean_30,lag_1,lag_2,lag_3,trend,seasonality,residual
23.495047,2,2,46,False,13.682331285714286,10.890969142857143,9.725198299999999,9.307135,8.6994045,7.828502,6.958788425351121,6.21062335206458,6.264460817906533,12.885352195652173,9.234565,11.626718318962823,2.380975163135645,1.8461798420669417,2.9552980398018907,1.2074614028297046,1.047657745131036,4.73301996569404,0.9351042400343615,2.3228734692476616,,3.839837566810267,4.061830288867848,6.017454116406142,4.24954640084807,5.05654372116431,8.815766543844118,6.790852083303471,10.188772353763781,,20.266053,18.995782,9.307135,11.068368233333333,0.6512566565404039,11.775422110126263
9.906056,3,2,47,False,13.788625714285713,11.305669642857143,9.897555266666666,9.906056,9.234565,8.018999,6.88350859484147,5.908809942985995,6.193165021789194,12.821962914893616,9.307135,11.507854972810655,2.8539910512625157,2.154228894832227,2.025260477989885,1.396765261369905,1.2322317650536585,4.455747815635058,0.3502583536630173,2.289225211177241,,4.290984152698656,4.2819669093089985,5.56637037775157,4.553924163257577,4.996605094316533,8.443408414954336,5.969968289174476,9.65423114349123,,23.495047,20.266053,18.995782,11.9833482,-1.566615928181818,-0.5106762718181825
1.995697,4,2,48,False,12.933339714285713,10.511272,9.708268333333333,9.906056,8.6994045,8.018999,8.00562226508694,6.3756823112180925,6.348296357537557,12.596415708333334,9.234565,11.491513611659192,2.8542220505984037,2.2721058921001713,1.9578446566455852,1.2474942461575032,1.2949311471108522,4.150638152409365,0.31458695761070216,2.209377611249448,,4.976269912202071,4.531355553573573,5.5324502658665295,4.925051579482223,4.97195811251335,8.083106212670662,5.911988961934749,9.132495329437402,,9.906056,23.495047,20.266053,12.46654005,1.6921816593181822,-12.163024709318183
7.529246,5,2,49,False,13.070716571428571,10.016179428571428,9.550432233333334,9.906056,8.1097565,7.7559725,7.885530091206136,6.314241147586292,6.341414118954538,12.493004081632654,9.161995,11.394197905510692,2.355179580906586,2.4298111915445695,2.0418246140545033,1.0120577206041026,1.3021564798576215,3.756412408237714,0.2641761310339507,2.0439031360389914,,5.879982192125445,4.781174626143624,5.637196002770191,5.344123665756517,4.94438027963831,7.731642147514771,6.04237771221459,8.616772636783534,,1.995697,9.906056,23.495047,12.536692750000002,5.047591581540404,-10.055038331540405
3.701184,6,2,50,True,12.26986642857143,9.931939999999999,9.5413643,9.906056,8.1097565,7.7559725,8.585099267713495,6.395372861008536,6.349853166643684,12.31716768,8.6994045,11.345665343293156,1.491671378933843,2.477475264601422,2.0968609591832186,0.6664325026484946,1.3076131127268777,3.2916912821544884,0.16595492264392459,1.7957760630556832,,6.896435100453256,5.0633319433335275,5.740490577864661,5.7751394367933715,4.919441522525614,7.378070865050341,6.174346355391977,8.099801208459187,,7.529246,1.995697,9.906056,12.654314283333333,3.843146498207071,-12.796276781540405
4.771642,7,2,51,True,10.237846428571428,9.885282785714285,9.5607213,7.529246,8.1097565,7.7559725,8.409372439560208,6.433055249434421,6.333845337764397,12.169216196078432,8.236814,11.281223841484914,1.2739095253978958,2.457832639018396,2.0995081497393397,0.5686957530881709,1.322100744688837,2.787312186136668,0.13087260457994726,1.4747348420993514,,7.480700850618853,5.351699605281452,5.822217983334416,6.097099460992858,4.907169120104439,7.009808055342755,6.262427726912802,7.5745155357318765,,3.701184,7.529246,1.995697,12.902864216666666,-0.43122117590909115,-7.700001040757575
2.648814,1,2,52,False,7.721098,9.611840857142857,9.457908233333335,4.771642,8.1097565,7.7559725,7.494393421719304,6.666205857037179,6.422529793411818,11.986131538461537,8.1460565,11.247828188172493,2.218162207591665,2.498766346263641,2.1153036525144944,0.614603375019835,1.233698205795953,2.2604758817677184,0.1501308419318293,1.0774951819678593,,7.746044929354096,5.590106054125664,5.879873119329577,6.3291415316193,5.114679717677373,6.6358031607771855,6.321937802001103,7.053008622736795,,4.771642,3.701184,7.529246,13.156255916666666,-0.8767219819696966,-9.63071993469697
5.569767,2,2,53,False,5.160343714285714,9.421337499999998,9.117418466666667,4.771642,7.7559725,7.4476035,2.795952938069269,6.7461526794664115,6.345870680264295,11.865068056603773,8.055299,11.17396401405239,3.224284937610855,2.803455520295484,2.2442113202035805,0.6328508024612985,1.1252465239994693,1.7381782793338294,0.23860805006661776,0.669325552028064,,7.151354145456688,5.495595856133478,5.820912732338035,6.405645721248133,5.327596061048102,6.281848164633546,6.333567782337927,6.562209932820698,,2.648814,4.771642,3.701184,13.459536866666665,-1.5034785410606066,-6.386291325606059
8.817526,3,2,54,False,5.004839428571429,9.396732571428572,8.479389266666667,4.771642,7.7559725,7.4476035,2.502933048892285,6.747799309808175,5.254643277420093,11.80863209259259,8.1460565,11.075814254793585,3.534508654148691,3.10634324862953,2.3715823257759734,0.3903806282816811,1.0129957065423385,1.1609811344486427,0.4229035412467606,0.385783099755984,,6.52555763889252,5.408270895795588,5.616771782347687,6.5255013450798725,5.5397127541687246,5.970694117639421,6.1994932474280535,6.084730768301266,,5.569767,2.648814,4.771642,13.599534199999999,1.5981565922727268,-6.3801647922727245
14.550706,4,2,55,False,6.798412142857143,9.865875928571429,8.718880766666667,5.569767,8.173386,7.7559725,4.023645775444214,6.869156012083152,5.364723479165644,11.858487981818183,8.236814,10.979008856411886,3.289169105032308,3.1801048955089892,2.3934223526512097,0.25347654014164,0.8649760502217845,1.013312932351047,0.44599078456924873,0.4016538596748311,,5.956703854657844,5.466486883429958,5.4626190995927315,6.595997588060595,5.760524583771409,5.912253442196062,6.058982836232067,5.9854858990834074,,8.817526,5.569767,2.648814,13.679056733333331,0.14302797863636316,0.7286212880303057
6.640263,5,2,56,False,6.6714145714285715,9.87106557142857,8.716464166666666,5.569767,8.173386,7.7559725,4.010742788646913,6.866499424582076,5.36567456418157,11.765305392857142,8.1460565,10.901067453638321,2.6742349375549836,3.2004397283571224,2.428473604504528,0.2314052283863956,0.7251062089149237,0.9851568035299799,0.44931722046603767,0.4326599840937217,,5.403162811435098,5.6415725017802725,5.3039513394756765,6.674891627631422,6.00950764669397,5.9147327806352665,5.919591471264499,5.980984591739545,,14.550706,8.817526,5.569767,13.9992726,-1.940071036515151,-5.418938563484849
9.887823,6,2,57,True,7.555220142857143,9.912543285714284,8.777548300000001,6.640263,8.173386,7.7559725,3.927925105689142,6.864584496542801,5.368318449657017,11.732367105263158,8.236814,10.806159816332746,1.771173303659213,3.2024307365622957,2.420934930573356,0.22842976802520337,0.5609201501505566,0.9630547493846093,0.4110162709202087,0.4532212866800852,,4.73785221686019,5.817143658656724,5.154461348642591,6.741921861279174,6.258530649036273,5.915951240589635,5.77937222598069,5.976859290686334,,6.640263,14.550706,8.817526,14.55201655,-0.7074501319696979,-3.9567434180303023
6.259366,7,2,58,True,7.767752142857143,9.002799285714286,8.929347333333332,6.640263,7.0847545,7.7559725,3.7900377205778644,6.396190962265331,5.223887598901052,11.63800501724138,8.1460565,10.735030651415356,1.1663174202305504,3.244380005622104,2.413588613086967,0.3341392225593762,0.598622691845456,0.9561916891696428,0.32048769820669437,0.4631649216274895,,4.077947257005571,5.7793240538122115,4.988004204798418,6.736655534540732,6.416877497766795,5.888167168210577,5.620806834714498,5.9416172808136505,,9.887823,6.640263,14.550706,15.151640083333332,0.09115017560606109,-8.983424258939394
18.578525,1,2,59,False,10.043425142857144,8.88226157142857,9.315801933333331,8.817526,7.0847545,8.1097565,4.8408811935131215,6.179846853279741,5.496790087301331,11.755640949152543,8.236814,10.680375735225235,1.7162826146703034,3.201125129729659,2.400739312805545,0.4251087943162372,0.6652952974710598,0.9578569070550396,0.28012949480046667,0.4539232316338694,2.3116478542552956,3.698874081547544,5.72245950545082,4.859922467184341,6.667175676861098,6.498158604240198,5.8546960295681405,5.488558305270144,5.905248053635623,8.670072759801808,6.259366,9.887823,6.640263,15.540498866666665,0.48159266045454574,2.5564334728787883
40.421633,2,3,60,False,15.022263142857144,10.09130342857143,10.535586999999998,9.887823,7.0847545,8.527170000000002,12.040936321559949,9.834046408133796,7.8103550047174695,12.233407483333334,8.527170000000002,11.217516680101044,3.2850225608309267,3.3529011851308153,2.651072817843073,0.4816373042271184,0.604608468674179,0.9543716882741587,0.6965064201255163,0.5587790051060965,2.243754197724643,5.019585993474784,6.085470069465736,4.971902588057498,7.10830335238501,6.756974536816571,5.9594449408101875,5.697770351620597,6.015669066979261,8.472113339425912,18.578525,6.259366,9.887823,15.615474233333332,2.017261527121212,22.788897239545456
44.721259,3,3,61,False,20.151367857142855,12.578103642857144,11.601149466666667,14.550706,7.0847545,8.527170000000002,15.964974531345442,13.50165558461914,9.99779651258985,12.765995213114753,8.817526,11.875946287009867,5.135948724710337,4.2730178969210275,3.298032336490894,1.2203157249831293,0.8768536471003827,1.1222102156873248,1.1248386353899977,0.821068320972719,2.1592033889336895,6.942734776682378,6.7341462077874485,5.388458468812815,8.073139963072292,7.299320654076082,6.186129025255383,6.375363670930562,6.287428459179309,8.35049173649795,40.421633,18.578525,6.259366,15.73521668333333,4.952873546818182,24.03316876984849
32.493333,4,3,62,False,22.714600285714287,14.756506214285713,12.365546933333333,18.578525,8.173386,8.527170000000002,16.351595425158244,14.109527733310427,10.689207907680876,13.084178080645161,8.9897605,12.04171504040189,6.522457025523733,5.4279595143810955,4.049976413536397,2.154046663224911,1.5613230034056491,1.4819015155625135,1.4829190750960934,1.1369093387573974,2.0853144052259966,8.70387044092724,7.330287147792541,5.812625832439129,9.107478780390473,7.851738184225534,6.433347964322064,7.136004303575596,6.597493569903831,8.251639477022444,44.721259,40.421633,18.578525,16.242909299999997,0.8345951149999997,15.415828585000003
10.159836,5,3,63,False,23.217396428571426,14.9444055,12.567533166666665,18.578525,9.3526745,8.9897605,15.820430867785987,14.023128829005827,10.584376682177027,13.037759952380952,9.161995,11.949890674413902,6.898864489136568,6.361921286713672,4.658482604146507,2.620697317428132,2.0025543867798707,1.7552970551420133,1.6204277610158686,1.38234983937116,2.0149463756809523,10.390968737947107,7.897065774691102,6.213253664409816,10.129854409593866,8.402373018612645,6.675853901327096,7.881533177574946,6.900562324419724,8.148560634241514,32.493333,44.721259,40.421633,17.2374412,-2.4795028501515146,-4.598102349848484
11.266839,6,3,64,True,23.414398714285714,15.48480942857143,12.505852333333333,18.578525,10.0238295,8.9897605,15.634272303800199,13.698545133287444,10.586454142988304,13.0100893125,9.234565,11.856737526456799,6.56179355944486,7.123680265590443,5.171274469081276,2.9057405877368967,2.378465074272095,2.029415474020871,1.538094421238751,1.5507652623787795,1.9311384322257727,12.063304051962973,8.400578134411582,6.583923366357059,11.106134500557387,8.924028180918281,6.908447403887921,8.62698113376513,7.203176679872911,8.046355847198086,10.159836,32.493333,44.721259,18.224113566666666,-0.8133231440909086,-6.143951422575759
23.368259,7,3,65,True,25.858526285714284,16.813139214285716,12.802776233333335,23.368259,10.7133375,8.9897605,13.726334101301674,13.479688950164139,10.76655658645945,13.16944576923077,9.307135,11.833692100475387,5.591807470779999,7.958868807169338,5.813726472604426,2.9508559044891034,2.814196223760678,2.3750505843717833,1.297758429657957,1.706875301848537,1.8328120769885217,13.482774963494945,8.780361110250258,6.895199067226269,12.118062784542929,9.427359159541833,7.134426008632164,9.418790989130615,7.519798911922557,7.953190006209779,11.266839,10.159836,32.493333,18.95827963333333,1.0410463331818185,3.3689330334848497
10.885815,1,3,66,False,24.759567714285716,17.401496428571427,13.002952200000001,23.368259,11.076327,9.234565,14.681071612208033,12.98456168838767,10.669573592423516,13.134845303030302,9.434272,11.745674918190467,3.6151965697074897,8.323898054600953,6.258289559825495,2.519469225752248,3.165840908241951,2.7049305735509495,0.8556621848322147,1.8340802190966787,1.739529478794048,14.888516451879934,9.293695266713739,7.230071560064707,13.090164903844064,9.878670290352582,7.342427549558877,10.157760061290928,7.823159183280536,7.8559273538510785,23.368259,11.266839,10.159836,19.933154016666663,-3.473558754696969,-5.573780261969695
14.623066,2,3,67,False,21.074058142857144,18.048160642857145,13.309559633333333,14.623066,12.9087725,9.597479,13.263802210520073,12.56876580136724,10.576048093186898,13.157057552238806,9.561409,11.657770784331882,1.974271854604573,8.019419101044175,6.4349096195413855,1.866341537906685,3.446151417978012,3.016326804336959,0.5430266273102191,1.9254489787594167,1.679064638948947,15.063211578874235,10.04139878617451,7.526457461339067,13.480839102877413,10.294571227631211,7.541224113493424,10.552859073929417,8.125314712775006,7.752200798425749,10.885815,23.368259,11.266839,21.234010799999997,-0.8797929774242418,-5.731151822575755
15.475635,3,3,68,False,16.896111857142856,18.523739857142857,13.6095141,14.623066,14.586886,9.896939499999998,8.221276073122786,12.316053229678102,10.502938586113705,13.191154279411764,9.624751499999999,11.573861210890513,2.9209605629159636,7.403522731114854,6.42823639849487,1.5199491272910124,3.6418572668406752,3.259547357591924,0.4546198078352891,1.9317172286620485,1.6668160507606449,13.956968941985284,10.449851859333831,7.661943225846484,13.311467337885835,10.692303650479063,7.826390638115489,10.625022227289966,8.500192949110264,7.644844532118108,14.623066,10.885815,23.368259,22.35978261666666,-2.0380204183333324,-4.846127198333328
7.63802,4,3,69,False,13.345352857142856,18.02997657142857,13.5895543,11.266839,12.9449525,9.896939499999998,5.159457541682488,12.622348438254443,10.514064034261397,13.11067407246377,9.561409,11.507878392118268,4.538294962257283,6.93066730672621,6.364735847069926,1.3656522961637858,3.703085381130397,3.414888097230516,0.45890205835551806,1.8892053633431334,1.7041574642192219,12.358092101488749,10.530981271207994,7.6966219535705696,13.099013152877836,11.103245966634157,8.121624790314764,10.600001673944329,8.868002988759963,7.554744921957166,15.475635,14.623066,10.885815,23.194652599999998,-3.1979208198484845,-12.358711780151513
14.532141,5,3,70,False,13.969967857142857,18.593682142857144,13.768559166666668,14.532141,14.577603499999999,10.032945999999999,4.970746991279006,12.245151078331403,10.481748733810186,13.130980742857142,9.624751499999999,11.425446890657307,5.163991073933852,6.340516982424173,6.315890616494082,1.1064751197435543,3.7102176836966323,3.5704406423770894,0.4704753361479862,1.7871190398574606,1.7923025330570304,10.808137261987751,10.599552999967429,7.738130770159112,12.84501633135292,11.487435370473394,8.403857639388496,10.585340538463353,9.233436858019148,7.506158160394434,7.63802,15.475635,14.623066,23.680879233333325,1.7666766528787887,-10.915414886212115
