Number of Cyc., xdisp_rel (FISH), xdisp_meas (FISH)
5130, 4.9848210E-003, 1.0200000E-001
5140, 5.0045430E-003, 1.0200000E-001
5150, 5.0264175E-003, 1.0200000E-001
5160, 5.0484737E-003, 1.0200000E-001
5170, 5.0691080E-003, 1.0200000E-001
5180, 5.0891033E-003, 1.0200000E-001
5190, 5.1083526E-003, 1.0200000E-001
5200, 5.1270854E-003, 1.0200000E-001
5210, 5.1456301E-003, 1.0200000E-001
5220, 5.1654893E-003, 1.0200000E-001
5230, 5.1852768E-003, 1.0200000E-001
5240, 5.2049865E-003, 1.0200000E-001
5250, 5.2255170E-003, 1.0200000E-001
5260, 5.2468226E-003, 1.0200000E-001
5270, 5.2693466E-003, 1.0200000E-001
5280, 5.2923283E-003, 1.0200000E-001
5290, 5.3158062E-003, 1.0200000E-001
5300, 5.3384265E-003, 1.0200000E-001
5310, 5.3604608E-003, 1.0200000E-001
5320, 5.3819133E-003, 1.0200000E-001
5330, 5.4033482E-003, 1.0200000E-001
5340, 5.4255250E-003, 1.0200000E-001
5350, 5.4480003E-003, 1.0200000E-001
5360, 5.4696136E-003, 1.0200000E-001
5370, 5.4898444E-003, 1.0200000E-001
5380, 5.5091351E-003, 1.0200000E-001
5390, 5.5288779E-003, 1.0200000E-001
5400, 5.5498318E-003, 1.0200000E-001
5410, 5.5714855E-003, 1.0200000E-001
5420, 5.5946541E-003, 1.0200000E-001
5430, 5.6182845E-003, 1.0200000E-001
5440, 5.6411618E-003, 1.0200000E-001
5450, 5.6642831E-003, 1.0200000E-001
5460, 5.6876604E-003, 1.0200000E-001
5470, 5.7106888E-003, 1.0200000E-001
5480, 5.7317495E-003, 1.0200000E-001
5490, 5.7518351E-003, 1.0200000E-001
5500, 5.7706721E-003, 1.0200000E-001
5510, 5.7889402E-003, 1.0200000E-001
5520, 5.8080686E-003, 1.0200000E-001
5530, 5.8268900E-003, 1.0200000E-001
5540, 5.8450132E-003, 1.0200000E-001
5550, 5.8644452E-003, 1.0200000E-001
5560, 5.8849094E-003, 1.0200000E-001
5570, 5.9058107E-003, 1.0200000E-001
5580, 5.9279243E-003, 1.0200000E-001
5590, 5.9510831E-003, 1.0200000E-001
5600, 5.9747886E-003, 1.0200000E-001
5610, 5.9989849E-003, 1.0200000E-001
5620, 6.0246971E-003, 1.0200000E-001
5630, 6.0507201E-003, 1.0200000E-001
5640, 6.0802340E-003, 1.0200000E-001
5650, 6.1141548E-003, 1.0200000E-001
5660, 6.1485919E-003, 1.0200000E-001
5670, 6.1828156E-003, 1.0200000E-001
5680, 6.2172813E-003, 1.0200000E-001
