"","x"
"363",-10.6000003814697
"364",-3
"365",4.20000028610229
"366",6.09999990463257
"367",13.3000001907349
"368",9.19999980926514
"369",3.20000004768372
"370",-2.10000014305115
"371",-4.59999990463257
"372",-10.1000003814697
"373",-9.60000038146973
"374",-8.69999980926514
"375",-8.30000019073486
"376",-3
"377",2.40000009536743
"378",8
"379",12.8000001907349
"380",9.5
"381",4
"382",-3.20000004768372
"383",-6.40000009536743
"384",-7.30000019073486
"385",-10.6000003814697
"386",-15.6000003814697
"387",-9.60000038146973
"388",-4.09999990463257
"389",2.90000009536743
"390",12.1999998092651
"391",13.1999998092651
"392",10.3000001907349
"393",6.20000028610229
"394",-0.699999988079071
"395",-10
"396",-10.1999998092651
"397",-7.70000028610229
"398",-10.4000005722046
"399",-8.5
"400",-4
"401",4.30000019073486
"402",8.69999980926514
"403",14.5
"404",12.5
"405",8.80000019073486
"406",0.200000002980232
"407",-7.40000009536743
"408",-10.4000005722046
"409",-13.4000005722046
"410",-12.1999998092651
"411",-9.60000038146973
"412",-3
"413",0.600000023841858
"414",8.69999980926514
"415",11.4000005722046
"416",9.60000038146973
"417",4.09999990463257
"418",-0.5
"419",-5.5
"420",-9.40000057220459
"421",-16.5
"422",-18
"423",-10.4000005722046
"424",-4.09999990463257
"425",4.90000009536743
"426",11.6999998092651
"427",13.3000001907349
"428",10.6999998092651
"429",5.70000028610229
"430",-2.10000014305115
"431",-5.20000028610229
"432",-7
"433",-11.6000003814697
"434",-17.3000011444092
"435",-11
"436",0
"437",5.90000009536743
"438",10.6999998092651
"439",15.5
"440",13.3000001907349
"441",5.59999990463257
"442",1.80000007152557
"443",-7.09999990463257
"444",-13.3000001907349
"445",-12.5
"446",-7
"447",-6.30000019073486
"448",-2.60000014305115
"449",2.90000009536743
"450",9.19999980926514
"451",14.6000003814697
"452",11.6000003814697
"453",6.70000028610229
"454",2.10000014305115
"455",-5.20000028610229
"456",-9.30000019073486
"457",-14.3000001907349
"458",-8.90000057220459
"459",-9.10000038146973
"460",-4.40000009536743
"461",2
"462",8.69999980926514
"463",12.9000005722046
"464",12.1999998092651
"465",5
"466",-1.20000004768372
"467",-6.5
"468",-15.1999998092651
"469",-17.8999996185303
"470",-17
"471",-14.4000005722046
"472",-4
"473",5.90000009536743
"474",10.6000003814697
"475",11.4000005722046
"476",9.40000057220459
"477",5.40000009536743
"478",0.5
"479",-9.40000057220459
"480",-13.6999998092651
"481",-17.8000011444092
"482",-16.1000003814697
"483",-10.9000005722046
"484",-5
"485",2.20000004768372
"486",8.30000019073486
"487",15.1999998092651
"488",9.5
"489",4.70000028610229
"490",-2.79999995231628
"491",-8.80000019073486
"492",-16.8999996185303
"493",-21.3999996185303
"494",-17.6000003814697
"495",-13
"496",-2.5
"497",1.80000007152557
"498",8.5
"499",11.6000003814697
"500",10.1999998092651
"501",5.20000028610229
"502",-1.30000007152557
"503",-6.90000009536743
"504",-13.6000003814697
"505",-17.7000007629395
"506",-9.60000038146973
"507",-5.40000009536743
"508",-2.79999995231628
"509",3.5
"510",10.4000005722046
"511",12.4000005722046
"512",9.30000019073486
"513",5.70000028610229
"514",0.600000023841858
"515",-6.59999990463257
"516",-8
"517",-13.1999998092651
"518",-11.1999998092651
"519",-8.80000019073486
"520",-5.30000019073486
"521",1.30000007152557
"522",8
"523",12
"524",10
"525",5.70000028610229
"526",1.80000007152557
"527",-7
"528",-7.90000009536743
"529",-17.2000007629395
"530",-11.1999998092651
"531",-7.90000009536743
"532",-1.20000004768372
"533",3
"534",9.30000019073486
"535",13.9000005722046
"536",11.9000005722046
"537",5
"538",-2.79999995231628
"539",-6.30000019073486
"540",-15
"541",-11.1000003814697
"542",-17.7000007629395
"543",-10.6999998092651
"544",-2.20000004768372
"545",3.5
"546",9.40000057220459
"547",13.4000005722046
"548",11.1999998092651
"549",7.40000009536743
"550",0.100000001490116
"551",-8.10000038146973
"552",-7.70000028610229
"553",-12.4000005722046
"554",-20
"555",-14.1999998092651
"556",-3.40000009536743
"557",4.09999990463257
"558",11.1999998092651
"559",14.1999998092651
"560",11.3000001907349
"561",7
"562",-1.20000004768372
"563",-10.1999998092651
"564",-14
"565",-20.1000003814697
"566",-11.1000003814697
"567",-4.90000009536743
"568",-0.699999988079071
"569",4
"570",8.60000038146973
"571",13.4000005722046
"572",8.60000038146973
"573",5.59999990463257
"574",-1.5
"575",-6.20000028610229
"576",-7.09999990463257
"577",-10.6999998092651
"578",-8.5
"579",-9.5
"580",-2.79999995231628
"581",3.5
"582",8.90000057220459
"583",10.3000001907349
"584",9
"585",8
"586",-0.699999988079071
"587",-4.40000009536743
"588",-10.8000001907349
"589",-17.6000003814697
"590",-13.6999998092651
"591",-7.70000028610229
"592",-1.10000002384186
"593",2.90000009536743
"594",9.90000057220459
"595",12.5
"596",12.6000003814697
"597",6.5
"598",0.900000035762787
"599",-8.30000019073486
"600",-13.6999998092651
"601",-19.3999996185303
"602",-14.1000003814697
"603",-11.5
"604",-2.79999995231628
"605",1
"606",6.90000009536743
"607",9.60000038146973
"608",12.6999998092651
"609",7
"610",2.5
"611",-10.3000001907349
"612",-10.6000003814697
"613",-14.6000003814697
"614",-14
"615",-11.1999998092651
"616",-1.70000004768372
"617",2.79999995231628
"618",9
"619",11.3000001907349
"620",8.10000038146973
"621",3.79999995231628
"622",-3.20000004768372
"623",-10.1999998092651
"624",-16.3999996185303
"625",-13.6999998092651
"626",-16.6000003814697
"627",-5.09999990463257
"628",-1.89999997615814
"629",3.10000014305115
"630",13.9000005722046
"631",12.5
"632",11.1000003814697
"633",5.09999990463257
"634",2.10000014305115
"635",-4.70000028610229
"636",-7.90000009536743
"637",-13.6000003814697
"638",-15.5
"639",-7.80000019073486
"640",-3.40000009536743
"641",5.70000028610229
"642",8.69999980926514
"643",13.6999998092651
"644",10.5
"645",5.5
"646",-1.70000004768372
"647",-9.19999980926514
"648",-9.30000019073486
"649",-16.7000007629395
"650",-16.2000007629395
"651",-10.6000003814697
"652",-6.20000028610229
"653",0.5
"654",6.5
"655",12.3000001907349
"656",11.3000001907349
"657",6.90000009536743
"658",-2.40000009536743
"659",-9.90000057220459
"660",-20.1000003814697
"661",-17.5
"662",-17.3999996185303
"663",-7.80000019073486
"664",-5.59999990463257
"665",3.79999995231628
"666",9.10000038146973
"667",12.6000003814697
"668",8.90000057220459
"669",5
"670",-1.39999997615814
"671",-12.5
"672",-14.5
"673",-11.6000003814697
"674",-14.4000005722046
"675",-10
"676",-2.20000004768372
"677",2.10000014305115
"678",7.09999990463257
"679",13.6999998092651
"680",9.69999980926514
"681",4.90000009536743
"682",-0.600000023841858
"683",-5.80000019073486
"684",-11.9000005722046
"685",-18.3999996185303
"686",-16.8000011444092
"687",-12.5
"688",-3.90000009536743
"689",2.10000014305115
"690",9
"691",10.4000005722046
"692",11.5
"693",6.80000019073486
"694",1.39999997615814
"695",-3.10000014305115
"696",-15.5
"697",-16.7000007629395
"698",-5.5
"699",-3.60000014305115
"700",-2.70000004768372
"701",3.5
"702",9.5
"703",11.6999998092651
"704",11
"705",5.20000028610229
"706",0.600000023841858
"707",-6.70000028610229
"708",-11.6000003814697
"709",-17.3000011444092
"710",-16.8999996185303
"711",-7.5
"712",-1.39999997615814
"713",5.5
"714",10.5
"715",14
"716",11.6000003814697
"717",6.40000009536743
"718",-4
"719",-9.30000019073486
"720",-13.3000001907349
"721",-15.8000001907349
"722",-9.30000019073486
"723",-6.80000019073486
"724",-4.59999990463257
"725",3.10000014305115
"726",10.6000003814697
"727",12.6999998092651
"728",10.1999998092651
"729",6.5
"730",3.90000009536743
"731",-5.20000028610229
"732",-15.8000001907349
"733",-14.6000003814697
"734",-13.3000001907349
"735",-15.1999998092651
"736",-1.89999997615814
"737",3
"738",7.80000019073486
"739",10.5
"740",8.90000057220459
"741",4.90000009536743
"742",1.60000002384186
"743",-7.80000019073486
"744",-14.6000003814697
"745",-15.1999998092651
"746",-15.6999998092651
"747",-11.1999998092651
"748",-1.70000004768372
"749",7.09999990463257
"750",9.30000019073486
"751",10.6000003814697
"752",11.5
"753",7.5
"754",1
"755",-10
"756",-11
"757",-7.90000009536743
"758",-14.4000005722046
"759",-8.69999980926514
"760",-2.5
"761",4.20000028610229
"762",7.80000019073486
"763",11.1000003814697
"764",9.30000019073486
"765",4.20000028610229
"766",2.79999995231628
"767",-7.5
"768",-10.8000001907349
"769",-16.1000003814697
"770",-10.9000005722046
"771",-9.80000019073486
"772",-1.89999997615814
"773",1.30000007152557
"774",9.60000038146973
"775",9.80000019073486
"776",9.30000019073486
"777",7.40000009536743
"778",1.20000004768372
"779",-11.5
"780",-18.8000011444092
"781",-20.8999996185303
"782",-22.7000007629395
"783",-12.3000001907349
"784",-5.70000028610229
"785",2.29999995231628
"786",11.9000005722046
"787",11.8000001907349
"788",9.30000019073486
"789",2.79999995231628
"790",-1.89999997615814
"791",-7.09999990463257
"792",-11.9000005722046
"793",-20
"794",-11
"795",-5.40000009536743
"796",-2.79999995231628
"797",3.5
"798",8.80000019073486
"799",11
"800",10.8000001907349
"801",7.5
"802",-0.699999988079071
"803",-4.09999990463257
"804",-19.3000011444092
"805",-20.3999996185303
"806",-15.8000001907349
"807",-8
"808",-2.10000014305115
"809",1.20000004768372
"810",9.69999980926514
"811",10.5
"812",8.90000057220459
"813",4.80000019073486
"814",-5.40000009536743
"815",-10.3000001907349
"816",-8.69999980926514
"817",-17.1000003814697
"818",-19.3000011444092
"819",-10.4000005722046
"820",-3.10000014305115
"821",2.29999995231628
"822",11.1999998092651
"823",12.1999998092651
"824",13.4000005722046
"825",4.70000028610229
"826",0.699999988079071
