index,czas_start,czas_stop,n,ns,multiline,l,t
233,1101.184,1102.602,1,1,False,20,1.41800000000012
234,1102.602,1104.396,1,1,False,19,1.793999999999869
235,1104.396,1105.897,1,1,False,14,1.5009999999999764
236,1106.606,1108.191,1,1,False,26,1.5850000000000364
237,1109.609,1112.612,1,1,False,29,3.0030000000001564
238,1114.698,1116.991,1,1,False,20,2.2929999999998927
239,1119.202,1121.204,1,1,False,31,2.0019999999999527
240,1123.498,1125.291,1,1,False,22,1.7929999999998927
241,1126.001,1127.002,1,1,False,5,1.0009999999999764
242,1127.919,1129.004,1,1,False,4,1.084999999999809
243,1130.005,1134.3,2,2,True,75,4.294999999999845
244,1135.885,1136.886,1,1,False,9,1.0009999999999764
245,1138.805,1142.1,2,2,True,54,3.2949999999998454
246,1153.111,1155.905,1,1,False,17,2.793999999999869
247,1156.406,1157.407,1,1,False,9,1.0009999999999764
248,1158.199,1159.409,1,1,False,7,1.2100000000000364
249,1161.786,1163.204,1,1,False,10,1.4179999999998927
250,1163.204,1164.581,1,1,False,11,1.3769999999999527
251,1164.998,1166.207,1,1,False,18,1.20900000000006
252,1175.3,1177.719,1,1,False,20,2.4190000000000964
253,1178.887,1179.888,1,1,False,14,1.0009999999999764
254,1187.604,1188.605,1,1,False,9,1.0009999999999764
255,1189.189,1190.69,1,1,False,17,1.5009999999999764
256,1191.9,1192.901,1,1,False,7,1.0009999999999764
257,1195.195,1196.404,1,1,False,16,1.20900000000006
258,1198.114,1199.199,1,1,False,3,1.0850000000000364
259,1201.284,1202.994,1,1,False,35,1.709999999999809
260,1204.496,1205.997,1,1,False,11,1.5009999999999764
261,1209.0,1210.001,1,1,False,9,1.0009999999999764
262,1214.714,1216.007,1,1,False,17,1.29300000000012
263,1218.218,1220.22,2,2,True,15,2.0019999999999527
264,1220.72,1222.097,1,1,False,16,1.3769999999999527
265,1222.18,1223.515,1,1,False,5,1.3350000000000364
266,1224.182,1229.312,2,2,True,58,5.129999999999882
267,1231.189,1232.482,1,1,False,9,1.2929999999998927
268,1233.316,1235.61,1,1,False,24,2.293999999999869
269,1235.694,1237.779,1,1,False,22,2.0850000000000364
270,1239.489,1241.991,1,1,False,28,2.5019999999999527
271,1247.08,1248.415,1,1,False,18,1.3350000000000364
272,1249.791,1251.001,1,1,False,10,1.2100000000000364
273,1251.793,1252.794,1,1,False,4,1.0010000000002037
274,1257.298,1259.009,1,1,False,22,1.7110000000000127
275,1259.092,1260.093,1,1,False,4,1.0009999999999764
276,1261.219,1262.679,1,1,False,12,1.4600000000000364
277,1263.888,1268.518,2,2,True,43,4.630000000000109
278,1270.52,1273.314,1,1,False,30,2.7940000000000964
279,1273.398,1276.609,1,1,False,26,3.2110000000000127
280,1282.782,1283.908,1,1,False,6,1.1259999999999764
281,1286.202,1288.997,1,1,False,32,2.7950000000000728
282,1289.08,1291.291,1,1,False,29,2.2110000000000127
283,1291.416,1293.418,1,1,False,32,2.0019999999999527
284,1302.01,1303.094,1,1,False,9,1.08400000000006
285,1381.506,1383.383,1,1,False,26,1.8769999999999527
286,1393.309,1394.811,1,1,False,13,1.5019999999999527
287,1395.895,1397.397,1,1,False,10,1.5019999999999527
288,1420.587,1421.796,1,1,False,4,1.20900000000006
289,1422.505,1423.798,1,1,False,12,1.2929999999998927
290,1424.299,1425.8,1,1,False,22,1.5009999999999764
291,1426.301,1427.302,1,1,False,6,1.0009999999999764
292,1427.385,1429.679,1,1,False,32,2.2940000000000964
293,1429.804,1431.514,1,1,False,36,1.709999999999809
294,1432.39,1435.018,1,1,False,33,2.627999999999929
295,1435.101,1436.895,1,1,False,19,1.793999999999869
296,1436.895,1439.397,1,1,False,25,2.5019999999999527
297,1447.113,1450.992,1,1,False,23,3.8789999999999054
298,1454.12,1457.207,2,2,True,54,3.0870000000002165
299,1457.29,1458.708,2,2,True,20,1.41800000000012
300,1458.792,1461.503,2,2,True,44,2.7110000000000127
301,1461.586,1463.296,1,1,False,32,1.7100000000000364
302,1463.38,1466.091,2,2,True,45,2.7109999999997854
303,1466.216,1467.801,1,1,False,25,1.5850000000000364
304,1468.593,1470.804,2,2,True,47,2.2110000000000127
305,1470.887,1473.306,2,2,True,44,2.4190000000000964
306,1488.196,1491.7,1,1,False,22,3.504000000000133
307,1502.085,1503.795,2,2,True,39,1.7100000000000364
308,1503.92,1505.797,1,1,False,12,1.8769999999999527
309,1534.409,1535.702,1,1,False,7,1.2929999999998927
310,1536.619,1538.204,1,1,False,23,1.5850000000000364
311,1539.497,1542.0,1,1,False,14,2.502999999999929
312,1542.083,1544.419,1,1,False,27,2.3360000000000127
313,1544.502,1546.004,1,1,False,21,1.5019999999999527
314,1546.004,1551.301,2,2,True,59,5.2970000000000255
315,1552.01,1553.303,1,1,False,14,1.29300000000012
316,1554.304,1556.389,1,1,False,38,2.084999999999809
317,1557.182,1560.101,2,2,True,51,2.9190000000000964
318,1560.602,1562.687,1,1,False,26,2.084999999999809
319,1562.812,1564.189,1,1,False,16,1.37700000000018
320,1564.898,1565.982,1,1,False,13,1.08400000000006
321,1568.985,1570.195,1,1,False,17,1.2100000000000364
322,1570.195,1571.988,1,1,False,21,1.79300000000012
323,1572.906,1573.907,1,1,False,10,1.0009999999999764
324,1576.493,1579.704,1,1,False,22,3.2110000000000127
325,1610.902,1612.779,2,2,True,34,1.8769999999999527
326,1612.904,1614.698,1,1,False,18,1.7940000000000964
327,1616.7,1619.619,1,1,False,33,2.918999999999869
328,1619.703,1621.079,1,1,False,24,1.3759999999999764
329,1621.204,1622.706,1,1,False,26,1.5019999999999527
